CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB
398768,2,17/12/1999,BCRB,B097131712320,1.0,21/11/2017
296227,2,23/06/2002,NOBT,R056024362409,,
868699,2,12/04/1999,BOTH,X090802290579,,
640353,1,19/02/2004,REFU,Z053273524673,,
180638,1,28/06/1999,NOBT,B090170554312,,
62551,2,18/03/2005,OOTH,R084010198416,,
438762,1,15/08/2008,ABAN,H059033989380,,
185992,2,29/07/2009,BAFR,U054252063976,,
532130,1,24/07/2009,APKN,H071379593570,,
671161,2,09/04/2003,MWBC,Y017489791737,,
880317,1,27/10/2005,BAFR,W088439505876,,
828936,2,27/09/2007,MOTH,D066329546107,,
604967,2,06/04/2004,BOTH,O007460030977,,
775405,1,04/05/1999,WROM,F044100957776,,
286807,1,24/01/2002,MWBA,V042263162360,,
521525,1,13/06/2002,REFU,N070571845496,,
225242,2,27/11/2005,AIND,E024501213825,,
158853,2,11/04/2008,WBRI,E043584864318,,
97679,1,02/09/2007,NOBT,F031422321568,,
295982,1,21/02/2009,MWBC,T051788328004,,
426648,1,16/10/2001,MOTH,R063029707492,,
389248,2,02/02/2001,REFU,J040780121614,,
501350,1,10/04/2003,ABAN,A074466676282,,
397815,1,27/04/2000,MWAS,T065572515321,,
972102,1,18/06/1999,AIND,K005714846118,,
53693,1,28/12/2007,MWBA,E072016439902,,
168196,1,12/10/2009,APKN,L066695746570,,
568347,1,04/10/2004,BOTH,N003834296284,,
637234,2,07/08/2006,APKN,G014513081279,,
406894,2,15/08/2002,ABAN,V019456276394,,
58470,2,28/05/2004,AIND,F008851001771,,
251367,2,25/11/2007,MWBA,B006304304068,,
452400,2,20/09/2001,BAFR,K000821570985,,
680750,1,19/02/2009,BAFR,K042219112852,,
738595,1,20/07/2000,WOTH,X002342828700,,
319688,2,05/12/2004,WROM,D024316977511,,
96860,1,17/11/2007,WOTH,D071452210331,,
305719,1,18/01/2004,NOBT,R035256603581,,
721638,2,03/07/2009,WIRT,G008792854228,,
91,2,19/10/1999,MOTH,W064737016429,,
257140,2,04/04/2002,WIRT,W036560084636,,
987589,2,09/05/2009,WIRT,G078076443510,,
525420,1,12/12/2009,WOTH,R041861435456,,
911186,2,16/03/2009,MWBC,Q089156427066,,
711196,2,17/07/2005,APKN,D043851960232,,
533550,2,13/04/2000,WBRI,A062730026530,,
370565,2,11/05/2009,CHNE,I047419005346,,
863772,2,10/03/2006,ABAN,V097664376738,,
515339,1,10/11/2005,BCRB,S016112573169,,
733166,2,15/01/2005,NOBT,N091451139698,,
569911,1,01/03/2000,REFU,M021650258848,,
289653,1,29/12/2001,WIRT,A048478311268,,
944392,1,16/04/2005,AOTH,Y028052828138,,
457493,2,09/06/2007,WOTH,T049797830770,,
59536,1,05/01/2001,NOBT,R005482628546,,
447903,1,19/03/2007,MWAS,Q013754822945,,
230591,2,15/04/2009,MWBC,A067433156499,,
92629,1,31/07/2006,WROM,L042232277738,,
52040,1,21/10/2004,WIRT,O050253438912,,
626490,2,03/10/2009,AIND,U076204007293,,
718139,1,25/12/2008,MOTH,Y045825008717,,
297509,2,21/03/2007,WIRI,W085698054985,,
623826,1,30/12/2003,APKN,E050651948637,,
934454,1,07/06/2001,OOTH,V030401216782,,
955207,1,22/10/2008,OOTH,W018324324781,,
521749,1,17/11/2005,BAFR,Z078480542435,,
158809,2,19/09/2006,WROM,I080683999830,,
344070,2,09/09/2007,WIRT,Z012405551068,,
207288,2,28/10/2007,BCRB,B068323705724,,
161229,1,05/02/2000,OOTH,E000238518237,,
420870,2,13/09/2005,WIRI,S036567914789,,
115396,1,09/06/2001,AIND,M051241019272,,
748243,1,01/10/2007,AIND,W059468322032,,
686067,1,07/03/2007,OOTH,B011159170354,,
913259,2,31/05/2008,BCRB,X023146595366,,
933616,1,28/11/2007,NOBT,K006758923828,,
600195,1,09/04/2005,BCRB,U076996251385,,
306047,2,19/03/2004,BAFR,F012237338335,,
391802,2,24/10/2005,NOBT,K098261662219,,
227758,1,23/04/2003,MWBC,R052046819237,,
276736,1,27/03/2002,WROM,S087282221661,,
184159,1,19/09/2007,BOTH,D099660751122,,
355263,1,11/06/2004,BAFR,Z080204631746,,
545261,1,14/12/2006,WIRI,H042028194278,,
814528,1,17/07/2004,REFU,I011102004022,,
911317,2,13/04/2002,AIND,K027090584965,,
410686,2,08/10/2009,BOTH,A002309333724,,
853131,2,01/08/2003,AIND,N022790217123,,
830787,1,17/11/2003,WBRI,B040909196751,,
243537,2,17/01/2006,OOTH,H085633752004,,
453076,2,04/08/1999,BAFR,R023908095692,,
461710,2,31/12/2007,BOTH,P062214076854,,
300407,1,05/01/2009,BCRB,D037909529175,,
