CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB
62551,2,18/03/2005,OOTH,R084010198416,,
185992,2,29/07/2009,BAFR,U054252063976,,
225242,2,27/11/2005,AIND,E024501213825,,
158853,2,11/04/2008,WBRI,E043584864318,,
721638,2,03/07/2009,WIRT,G008792854228,,
525420,1,12/12/2009,WOTH,R041861435456,,
711196,2,17/07/2005,APKN,D043851960232,,
457493,2,09/06/2007,WOTH,T049797830770,,
230591,2,15/04/2009,MWBC,A067433156499,,
955207,1,22/10/2008,OOTH,W018324324781,,
420870,2,13/09/2005,WIRI,S036567914789,,
184159,1,19/09/2007,BOTH,D099660751122,,
814528,1,17/07/2004,REFU,I011102004022,,
439481,2,17/04/2007,WBRI,J016387031321,,
735996,1,05/10/2007,WROM,C009844470867,,
424048,2,28/04/2004,WIRI,K052262191905,,
536074,2,05/11/2008,WIRI,O071080534225,,
370716,1,21/07/2009,WOTH,S085294584266,,
279171,1,15/01/2008,MOTH,Y090960052228,,
87408,2,09/01/2005,MOTH,P019403841816,,
604939,2,25/01/2005,BCRB,J094995647415,,
557029,2,04/01/2007,AIND,T099634773040,,
479556,1,15/04/2006,MWBA,A054171871308,,
506970,1,18/12/2009,BAFR,E076150921231,,
745426,2,03/10/2007,APKN,Q051556941170,,
737153,1,31/05/2003,WOTH,S091529097102,,
464233,1,31/03/2005,WIRT,Z026566439651,,
994928,1,01/02/2005,WROM,G039321116055,,
842080,2,14/05/2007,WROM,E036647976521,,
386356,1,23/08/2008,BAFR,H047853649807,,
291083,2,10/08/2006,MWBA,M090388820257,,
5955,1,19/08/2009,BAFR,J068827775173,,
99273,1,03/07/2005,REFU,Y085151664331,,
610489,2,24/05/2006,APKN,T037978312243,,
991189,1,20/05/2006,WBRI,S015033405894,,
472130,1,04/02/2004,MWBA,B023555825835,,
210846,2,09/11/2007,WOTH,A011305635661,,
70974,2,22/12/2008,MOTH,W043187278370,,
489455,2,31/08/2008,OOTH,F011477533389,,
359195,2,09/02/2009,AIND,I038100633233,,
418846,1,26/08/2009,APKN,Y083756633299,,
893365,2,06/09/2003,MOTH,B069232251370,,
831429,2,26/12/2009,OOTH,P085918211744,,
411707,2,28/10/2008,MOTH,A077301877588,,
414521,2,14/10/2009,CHNE,I073964300941,,
388154,2,11/06/2008,BOTH,V023158284458,,
629831,2,04/10/2007,BAFR,J093468576125,,
63975,2,09/12/2006,CHNE,N003600836325,,
460752,2,14/11/2008,OOTH,R089951240129,,
425538,1,23/08/2009,WROM,M095814341035,,
164592,2,03/10/2004,MOTH,D061467442844,,
294875,1,01/03/2004,MWBA,F062141812188,,
895808,1,26/01/2009,BAFR,G000052982093,,
216649,2,22/04/2004,WIRT,M094850983577,,
755819,2,30/08/2008,CHNE,C098641532391,,
970280,2,02/07/2007,NOBT,E037689757645,,
422617,2,08/07/2005,NOBT,F001088721722,,
536218,1,25/07/2009,OOTH,B080852841567,,
871945,1,22/01/2006,APKN,L066704408874,,
92150,2,31/07/2008,ABAN,X075537188636,,
719756,1,27/03/2008,WOTH,G002637750426,,
