CHILD,DOB,IN_TOUCH,ACTIV,ACCOM
398768,17/12/1999,NREQ,G5,V1
868699,12/04/1999,YES,0,K2
180638,28/06/1999,NREQ,0,T1
775405,04/05/1999,NO,P2,T2
389248,02/02/2001,YES,P1,E2
397815,27/04/2000,NREQ,P3,02
972102,18/06/1999,RHOM,G5,R1
738595,20/07/2000,YES,P1,E2
91,19/10/1999,YES,P3,C2
533550,13/04/2000,DIED,P3,U2
569911,01/03/2000,NREQ,G5,Y2
59536,05/01/2001,DIED,G4,W2
161229,05/02/2000,YES,P1,R2
453076,04/08/1999,DIED,0,V1
769010,30/06/1999,NREQ,G4,V1
679389,16/02/2001,DIED,G4,Z1
458146,11/12/2000,RHOM,G5,R1
300991,27/01/2001,REFU,P3,V2
631002,24/11/2000,NO,F2,01
874935,11/12/1999,NREQ,G6,H1
993726,18/02/2001,NREQ,F3,C2
704877,15/07/2000,NREQ,P3,S2
121280,19/07/1999,REFU,G5,E2
923340,01/07/2000,NREQ,G4,V2
673109,06/10/2000,NO,P3,K1
245211,12/06/1999,NO,F2,T1
83267,10/06/1999,YES,F1,B2
172422,23/02/2000,RHOM,0,U2
876949,11/03/2001,NO,P2,K1
667777,02/11/1999,DIED,G4,B2
311627,25/02/2001,DIED,P1,Y1
725070,06/10/2000,RHOM,F3,U2
365512,11/02/2001,REFU,F1,G2
261427,16/06/1999,DIED,P2,K2
179822,07/05/1999,DIED,P1,Z2
742220,24/09/2000,DIED,F3,W1
347253,29/11/2000,NO,F1,S2
369768,03/02/2000,NREQ,F3,Y2
628500,07/09/2000,NREQ,P1,S2
70568,05/08/2000,YES,F2,R1
677730,05/01/2000,REFU,G4,Y1
293925,26/12/2000,DIED,0,01
352274,02/10/2000,YES,P1,Z1
315859,27/07/2000,DIED,F3,Z2
372110,16/03/2000,YES,P1,S1
534005,14/05/2000,NREQ,G5,Y2
584620,14/12/2000,REFU,P2,K1
851516,29/09/1999,REFU,F1,B1
604396,26/04/1999,NREQ,F1,Z1
290,13/11/2000,RHOM,G5,01
172092,01/07/1999,REFU,P3,D2
667440,08/10/1999,DIED,G4,R1
793208,27/04/1999,DIED,P1,C1
364661,21/07/2000,NO,G4,02
890271,09/07/1999,NO,G5,C1
444178,22/09/2000,NO,G6,B1
621603,16/08/1999,NREQ,P3,B1
518169,19/04/1999,NREQ,G4,G2
744111,07/10/1999,NO,P3,S1
818828,27/12/2000,REFU,F1,Y1
544632,08/04/2000,REFU,F3,G2
208073,27/04/1999,NREQ,P2,D1
923920,30/07/2000,NO,P2,B2
824525,24/06/2000,NREQ,P3,Z1
138289,26/09/1999,NO,0,V1
814378,16/08/2000,RHOM,P3,B1
342559,23/07/2000,REFU,F3,C1
506195,24/08/1999,YES,G5,C2
9522,17/07/2000,NO,F2,G1
741403,16/10/1999,NO,G4,Z2
485365,27/11/1999,REFU,F2,K1
983950,24/03/2000,RHOM,P1,Z1
947035,20/02/2000,DIED,P3,B2
312018,25/08/1999,NREQ,F2,R1
53639,17/01/2001,RHOM,G4,E2
939948,15/11/1999,YES,F1,02
994520,18/12/1999,DIED,G6,V2
903879,11/02/2000,NREQ,G4,Z2
288064,25/11/2000,RHOM,P3,E2
50020,31/08/1999,NO,G5,K1
561041,02/06/1999,REFU,P2,Z2
688510,03/09/2000,DIED,0,H2
965457,15/06/2000,NREQ,P2,V1
802322,21/11/1999,YES,G5,R1
534419,07/11/1999,DIED,F2,D1
499567,20/02/2001,YES,0,Z2
973661,10/06/2000,NREQ,G4,R2
877613,28/12/1999,RHOM,G6,Y2
588661,24/10/1999,RHOM,F1,T2
58309,30/12/2000,REFU,0,01
854826,12/02/2001,NO,F2,Y1
137917,26/04/1999,NREQ,0,Y1
335413,09/05/1999,YES,G5,Z2
46916,20/01/2000,NO,G5,G2
143713,23/09/1999,DIED,F2,W1
569034,17/12/1999,DIED,P1,R2
844461,04/11/2000,REFU,F3,01
828277,12/12/2000,NREQ,F3,C2
792567,15/02/2001,NO,0,Z2
223870,16/09/2000,DIED,G5,E1
459307,02/05/2000,DIED,F3,B2
296330,01/07/2000,NREQ,F3,K1
211186,02/10/1999,NO,P2,Z2
903664,05/09/2000,YES,G6,U2
859568,29/12/2000,REFU,P3,K1
276172,04/06/2000,REFU,0,G1
115254,28/08/2000,NO,P2,T1
598618,03/11/1999,YES,P3,Z1
826987,15/02/2000,YES,F3,V2
983227,05/08/2000,RHOM,0,D2
414394,03/07/1999,NREQ,0,Z1
54625,29/10/2000,RHOM,P2,C2
515563,11/02/2000,RHOM,F2,Y2
499660,30/07/2000,DIED,G4,E1
667283,05/12/1999,DIED,0,C2
12539,22/04/2000,DIED,F1,W1
582281,01/07/2000,NREQ,P2,W2
84450,30/08/2000,RHOM,G4,W2
31063,19/10/2000,NREQ,G6,C1
94030,08/12/1999,NO,F2,Z1
958808,31/01/2001,DIED,F1,S1
34663,26/07/1999,REFU,P1,D1
287890,14/04/2000,DIED,0,Z1
782906,27/11/2000,RHOM,P2,02
208084,26/06/1999,NREQ,P3,Y2
234842,17/03/2001,NO,G4,Z2
