CHILD,DOB,IN_TOUCH,ACTIV,ACCOM
397815,27/04/2000,NREQ,P3,02
738595,20/07/2000,YES,P1,E2
533550,13/04/2000,DIED,P3,U2
289653,29/12/2001,NREQ,G6,S1
59536,05/01/2001,DIED,G4,W2
934454,07/06/2001,REFU,G6,W1
115396,09/06/2001,NREQ,F2,W2
276736,27/03/2002,REFU,F3,02
536499,15/02/2002,REFU,F3,T2
458146,11/12/2000,RHOM,G5,R1
260471,17/03/2002,RHOM,F2,C2
300991,27/01/2001,REFU,P3,V2
631002,24/11/2000,NO,F2,01
531616,30/09/2001,NREQ,G4,B1
814676,21/02/2002,DIED,G6,K1
993726,18/02/2001,NREQ,F3,C2
562913,21/01/2002,DIED,F3,Y1
923340,01/07/2000,NREQ,G4,V2
340899,10/05/2001,NO,F2,Y1
673109,06/10/2000,NO,P3,K1
248635,30/10/2001,NREQ,G4,H1
876949,11/03/2001,NO,P2,K1
311627,25/02/2001,DIED,P1,Y1
365512,11/02/2001,REFU,F1,G2
422444,30/11/2001,YES,G4,D1
742220,24/09/2000,DIED,F3,W1
781863,02/04/2002,NREQ,P3,T2
347253,29/11/2000,NO,F1,S2
628500,07/09/2000,NREQ,P1,S2
70568,05/08/2000,YES,F2,R1
293925,26/12/2000,DIED,0,01
171369,29/07/2001,NO,F1,S2
352274,02/10/2000,YES,P1,Z1
315859,27/07/2000,DIED,F3,Z2
679089,23/07/2001,NREQ,F1,C2
534005,14/05/2000,NREQ,G5,Y2
766270,09/02/2002,RHOM,P2,D2
584620,14/12/2000,REFU,P2,K1
519,26/03/2002,RHOM,F3,S1
75578,20/06/2001,NREQ,F3,R1
290,13/11/2000,RHOM,G5,01
502148,05/10/2001,NREQ,P1,U2
411555,28/04/2001,NO,0,02
364661,21/07/2000,NO,G4,02
444178,22/09/2000,NO,G6,B1
417910,01/07/2001,NREQ,G5,C1
818828,27/12/2000,REFU,F1,Y1
544632,08/04/2000,REFU,F3,G2
923920,30/07/2000,NO,P2,B2
672530,02/04/2002,NO,G4,C1
814378,16/08/2000,RHOM,P3,B1
882477,03/07/2001,RHOM,F1,R2
524792,04/02/2002,NREQ,F3,G2
653400,03/06/2001,RHOM,P2,K2
741598,15/09/2001,DIED,G5,B2
53639,17/01/2001,RHOM,G4,E2
288064,25/11/2000,RHOM,P3,E2
864252,17/03/2002,NO,0,D1
773456,10/10/2001,REFU,P2,G1
448742,23/06/2001,RHOM,G6,T2
965457,15/06/2000,NREQ,P2,V1
48338,30/05/2001,NREQ,F3,R2
499567,20/02/2001,YES,0,Z2
787064,05/10/2001,RHOM,P1,S2
204118,21/10/2001,DIED,G5,R2
58309,30/12/2000,REFU,0,01
854826,12/02/2001,NO,F2,Y1
261594,17/12/2001,DIED,F2,02
91711,27/04/2001,NO,F3,D1
603626,22/09/2001,NO,G4,Z2
118049,04/08/2001,REFU,P3,01
792567,15/02/2001,NO,0,Z2
223870,16/09/2000,DIED,G5,E1
982154,28/07/2001,YES,F2,Z2
409218,31/12/2001,RHOM,P3,E1
21593,04/11/2001,RHOM,F2,Z1
903664,05/09/2000,YES,G6,U2
133330,31/03/2002,NO,P2,U1
859568,29/12/2000,REFU,P3,K1
115254,28/08/2000,NO,P2,T1
983227,05/08/2000,RHOM,0,D2
745488,15/12/2001,NREQ,F2,V2
369488,12/09/2001,DIED,P1,Z1
12539,22/04/2000,DIED,F1,W1
582281,01/07/2000,NREQ,P2,W2
84450,30/08/2000,RHOM,G4,W2
31063,19/10/2000,NREQ,G6,C1
671612,04/06/2001,REFU,P1,H2
958808,31/01/2001,DIED,F1,S1
287890,14/04/2000,DIED,0,Z1
782906,27/11/2000,RHOM,P2,02
147816,07/12/2001,DIED,P2,D2
415235,28/05/2001,NREQ,P3,S1
87322,27/02/2002,NO,P2,E2
827864,05/02/2002,YES,G6,V1
820261,15/08/2001,REFU,0,G1
