CHILD,DOB,IN_TOUCH,ACTIV,ACCOM
406894,15/08/2002,NREQ,F3,V2
289653,29/12/2001,NREQ,G6,S1
934454,07/06/2001,REFU,G6,W1
260471,17/03/2002,RHOM,F2,C2
814676,21/02/2002,DIED,G6,K1
562913,21/01/2002,DIED,F3,Y1
340899,10/05/2001,NO,F2,Y1
956819,15/11/2002,REFU,G5,S2
248635,30/10/2001,NREQ,G4,H1
422444,30/11/2001,YES,G4,D1
318887,07/09/2002,RHOM,P3,S1
781863,02/04/2002,NREQ,P3,T2
690022,13/05/2002,RHOM,P1,U2
679089,23/07/2001,NREQ,F1,C2
766270,09/02/2002,RHOM,P2,D2
460574,24/12/2002,NREQ,G5,T2
411555,28/04/2001,NO,0,02
397023,24/02/2003,NREQ,F3,C2
672530,02/04/2002,NO,G4,C1
533989,27/11/2002,RHOM,F3,S1
905870,24/05/2002,DIED,G6,02
882477,03/07/2001,RHOM,F1,R2
524792,04/02/2002,NREQ,F3,G2
653400,03/06/2001,RHOM,P2,K2
42306,20/09/2002,NREQ,P1,S1
741598,15/09/2001,DIED,G5,B2
778189,04/09/2002,NO,G6,B2
893776,03/11/2002,DIED,F1,D1
448742,23/06/2001,RHOM,G6,T2
48338,30/05/2001,NREQ,F3,R2
787064,05/10/2001,RHOM,P1,S2
204118,21/10/2001,DIED,G5,R2
866837,27/09/2002,REFU,P2,E2
694922,19/07/2002,YES,G5,G2
214178,12/09/2002,YES,F1,D1
981287,26/01/2003,NO,G6,U1
91711,27/04/2001,NO,F3,D1
909944,13/04/2002,DIED,P1,Z2
713648,01/10/2002,DIED,P1,Y2
413915,01/11/2002,NREQ,F2,C2
982154,28/07/2001,YES,F2,Z2
629818,11/08/2002,NREQ,F1,K2
21593,04/11/2001,RHOM,F2,Z1
680465,16/06/2002,DIED,G4,R2
679728,17/05/2002,RHOM,G4,B1
802543,05/04/2003,NO,G4,Z2
420134,01/11/2002,RHOM,P2,D1
133330,31/03/2002,NO,P2,U1
413831,20/05/2002,DIED,G4,Y2
878043,13/10/2002,DIED,G5,C1
369488,12/09/2001,DIED,P1,Z1
64562,17/06/2002,DIED,F2,G1
610919,04/06/2002,NO,F3,Z1
679022,30/11/2002,NREQ,P2,E2
588334,30/05/2002,RHOM,F3,W1
827864,05/02/2002,YES,G6,V1
