CHILD,DOB,IN_TOUCH,ACTIV,ACCOM
406894,15/08/2002,NREQ,F3,V2
227758,23/04/2003,NO,P3,C1
442009,17/02/2004,RHOM,P1,H1
462241,09/07/2003,DIED,F2,Z2
737153,31/05/2003,NO,G4,E2
472130,04/02/2004,NO,F3,D1
893365,06/09/2003,DIED,P1,Y2
294875,01/03/2004,RHOM,G6,E2
546571,04/05/2003,NO,P2,G2
397023,24/02/2003,NREQ,F3,C2
533989,27/11/2002,RHOM,F3,S1
146596,04/11/2003,RHOM,F1,Z2
905870,24/05/2002,DIED,G6,02
140302,16/03/2004,NREQ,F2,Z2
986890,23/10/2003,NREQ,G5,Z2
893776,03/11/2002,DIED,F1,D1
306870,26/10/2003,REFU,F2,R2
850847,05/10/2003,NREQ,F2,U2
355602,13/02/2004,YES,F2,C1
711540,30/03/2004,REFU,G4,Y1
866837,27/09/2002,REFU,P2,E2
694922,19/07/2002,YES,G5,G2
793347,17/10/2003,DIED,G6,H1
693410,24/12/2003,RHOM,F1,D1
214178,12/09/2002,YES,F1,D1
195764,21/02/2004,NO,F3,H2
909944,13/04/2002,DIED,P1,Z2
21847,13/02/2004,NREQ,G4,R1
413915,01/11/2002,NREQ,F2,C2
629818,11/08/2002,NREQ,F1,K2
648222,16/04/2003,YES,0,K2
679728,17/05/2002,RHOM,G4,B1
802543,05/04/2003,NO,G4,Z2
420134,01/11/2002,RHOM,P2,D1
822438,26/02/2004,REFU,P2,C1
878043,13/10/2002,DIED,G5,C1
610919,04/06/2002,NO,F3,Z1
379507,12/08/2003,NO,G6,Z2
442704,22/09/2003,RHOM,G5,S2
588334,30/05/2002,RHOM,F3,W1
