CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB
640353,1,19/02/2004,REFU,Z053273524673,,
62551,2,18/03/2005,OOTH,R084010198416,,
185992,2,29/07/2009,BAFR,U054252063976,,
225242,2,27/11/2005,AIND,E024501213825,,
158853,2,11/04/2008,WBRI,E043584864318,,
295982,1,21/02/2009,MWBC,T051788328004,,
53693,1,28/12/2007,MWBA,E072016439902,,
168196,1,12/10/2009,APKN,L066695746570,,
637234,2,07/08/2006,APKN,G014513081279,,
406894,2,15/08/2002,ABAN,V019456276394,,
721638,2,03/07/2009,WIRT,G008792854228,,
525420,1,12/12/2009,WOTH,R041861435456,,
711196,2,17/07/2005,APKN,D043851960232,,
515339,1,10/11/2005,BCRB,S016112573169,,
289653,1,29/12/2001,WIRT,A048478311268,,
457493,2,09/06/2007,WOTH,T049797830770,,
447903,1,19/03/2007,MWAS,Q013754822945,,
230591,2,15/04/2009,MWBC,A067433156499,,
92629,1,31/07/2006,WROM,L042232277738,,
626490,2,03/10/2009,AIND,U076204007293,,
718139,1,25/12/2008,MOTH,Y045825008717,,
623826,1,30/12/2003,APKN,E050651948637,,
934454,1,07/06/2001,OOTH,V030401216782,,
955207,1,22/10/2008,OOTH,W018324324781,,
521749,1,17/11/2005,BAFR,Z078480542435,,
158809,2,19/09/2006,WROM,I080683999830,,
374015,1,26/11/2008,BOTH,R026374952883,,
420870,2,13/09/2005,WIRI,S036567914789,,
748243,1,01/10/2007,AIND,W059468322032,,
686067,1,07/03/2007,OOTH,B011159170354,,
227758,1,23/04/2003,MWBC,R052046819237,,
184159,1,19/09/2007,BOTH,D099660751122,,
545261,1,14/12/2006,WIRI,H042028194278,,
814528,1,17/07/2004,REFU,I011102004022,,
830787,1,17/11/2003,WBRI,B040909196751,,
243537,2,17/01/2006,OOTH,H085633752004,,
439481,2,17/04/2007,WBRI,J016387031321,,
259754,1,02/05/2007,MOTH,X012605454287,,
700392,2,07/08/2008,MOTH,Z051414404651,,
260471,1,17/03/2002,AOTH,J031376199335,,
725812,2,21/11/2006,WBRI,P002971600776,,
904092,2,20/06/2005,REFU,Y067126633030,,
735996,1,05/10/2007,WROM,C009844470867,,
814676,2,21/02/2002,MOTH,L051308299899,,
424048,2,28/04/2004,WIRI,K052262191905,,
502939,1,08/07/2005,AOTH,J006324372711,,
955390,1,03/09/2005,CHNE,M053319012692,,
536074,2,05/11/2008,WIRI,O071080534225,,
731959,2,29/09/2007,WOTH,R061705640248,,
370716,1,21/07/2009,WOTH,S085294584266,,
279171,1,15/01/2008,MOTH,Y090960052228,,
99151,1,27/12/2005,REFU,V026071191052,,
87408,2,09/01/2005,MOTH,P019403841816,,
204727,1,17/03/2006,APKN,X017180369396,,
604939,2,25/01/2005,BCRB,J094995647415,,
96146,1,28/01/2009,REFU,M077031628515,,
294712,2,19/12/2009,WIRI,V065638224431,,
562913,1,21/01/2002,WOTH,X072942545850,,
862146,2,02/08/2006,APKN,T040866019829,,
2351,1,19/07/2003,NOBT,H073568167382,,
274248,2,12/06/2005,AIND,W096544617608,,
340899,1,10/05/2001,WIRT,H063323829962,,
442009,2,17/02/2004,NOBT,B000162331256,,
557029,2,04/01/2007,AIND,T099634773040,,
479556,1,15/04/2006,MWBA,A054171871308,,
956819,1,15/11/2002,REFU,R003625207297,,
506970,1,18/12/2009,BAFR,E076150921231,,
745426,2,03/10/2007,APKN,Q051556941170,,
230147,2,15/06/2005,BAFR,E096082708682,,
462241,1,09/07/2003,NOBT,O059307399715,,
737153,1,31/05/2003,WOTH,S091529097102,,
464233,1,31/03/2005,WIRT,Z026566439651,,
994928,1,01/02/2005,WROM,G039321116055,,
694959,1,11/09/2008,MWAS,Z092594109024,,
248635,2,30/10/2001,BAFR,O075790678196,,
842080,2,14/05/2007,WROM,E036647976521,,
386356,1,23/08/2008,BAFR,H047853649807,,
428775,1,18/03/2005,AIND,O074379008676,,
291083,2,10/08/2006,MWBA,M090388820257,,
673034,2,12/02/2008,MWAS,H057704240760,,
814038,2,09/01/2007,MWAS,X044981123816,,
422444,2,30/11/2001,OOTH,M097328773264,,
318887,1,07/09/2002,WROM,K044405090237,,
5955,1,19/08/2009,BAFR,J068827775173,,
781863,1,02/04/2002,WBRI,Y066761025102,,
99273,1,03/07/2005,REFU,Y085151664331,,
775675,2,02/04/2006,BOTH,J070382886759,,
610489,2,24/05/2006,APKN,T037978312243,,
719836,2,30/07/2005,BAFR,V088817270605,,
991189,1,20/05/2006,WBRI,S015033405894,,
472130,1,04/02/2004,MWBA,B023555825835,,
210846,2,09/11/2007,WOTH,A011305635661,,
187276,1,02/09/2006,AOTH,A030266826026,,
690022,1,13/05/2002,MOTH,Q090506719697,,
70974,2,22/12/2008,MOTH,W043187278370,,
489455,2,31/08/2008,OOTH,F011477533389,,
359195,2,09/02/2009,AIND,I038100633233,,
418846,1,26/08/2009,APKN,Y083756633299,,
893365,2,06/09/2003,MOTH,B069232251370,,
831429,2,26/12/2009,OOTH,P085918211744,,
57648,1,02/09/2008,NOBT,E078333898249,,
679089,1,23/07/2001,WIRI,M018282532437,,
257705,2,06/03/2007,WROM,K096643170384,,
411707,2,28/10/2008,MOTH,A077301877588,,
414521,2,14/10/2009,CHNE,I073964300941,,
777424,1,05/11/2005,BOTH,X064236256900,,
388154,2,11/06/2008,BOTH,V023158284458,,
227488,2,11/08/2004,MWBC,I034975157626,,
279660,2,09/02/2009,OOTH,U097932615128,,
481088,1,28/02/2006,CHNE,K088832986703,,
629831,2,04/10/2007,BAFR,J093468576125,,
766270,1,09/02/2002,MWBC,E003704228614,,
800491,2,05/07/2008,BAFR,X013500857289,,
750487,2,11/06/2003,CHNE,H029935423528,,
63975,2,09/12/2006,CHNE,N003600836325,,
460752,2,14/11/2008,OOTH,R089951240129,,
460574,1,24/12/2002,MOTH,D086331036644,,
284120,1,25/05/2009,WOTH,Q075356713877,,
546042,1,12/06/2003,WROM,T072999949937,,
425538,1,23/08/2009,WROM,M095814341035,,
164592,2,03/10/2004,MOTH,D061467442844,,
838434,2,12/07/2006,CHNE,J082515354925,,
294875,1,01/03/2004,MWBA,F062141812188,,
411555,1,28/04/2001,MWBA,G063125093680,,
895808,1,26/01/2009,BAFR,G000052982093,,
812096,2,04/06/2008,MWBA,W055040635331,,
546571,2,04/05/2003,NOBT,O097325077435,,
275069,2,21/02/2008,REFU,C047233588915,,
216649,2,22/04/2004,WIRT,M094850983577,,
579001,1,23/10/2006,WROM,V075376052261,,
625998,2,06/07/2003,BOTH,M070449482970,,
549349,1,14/05/2005,NOBT,Y037398738157,,
852739,1,22/02/2007,WBRI,S084266748184,,
149412,2,16/11/2007,BCRB,V042380038652,,
755819,2,30/08/2008,CHNE,C098641532391,,
162049,1,05/04/2008,OOTH,U075088365759,,
970280,2,02/07/2007,NOBT,E037689757645,,
948155,1,25/11/2006,WIRI,N057905873205,,
397023,2,24/02/2003,OOTH,W009792898792,,
422617,2,08/07/2005,NOBT,F001088721722,,
536218,1,25/07/2009,OOTH,B080852841567,,
871945,1,22/01/2006,APKN,L066704408874,,
92150,2,31/07/2008,ABAN,X075537188636,,
672530,1,02/04/2002,WBRI,J098196068854,,
719756,1,27/03/2008,WOTH,G002637750426,,
533989,2,27/11/2002,MWAS,K082258907992,,
731704,2,31/12/2007,AIND,G012866603948,,
236096,2,28/11/2008,MWBA,Y043116630012,,
146596,2,04/11/2003,WIRT,T084635363492,,
46269,2,23/11/2009,REFU,G040660869968,,
865691,2,13/12/2003,MWAS,M079679871033,,
324051,2,02/11/2005,MWBA,X029965769702,,
717291,1,10/05/2008,WBRI,R043830567316,,
905870,1,24/05/2002,BCRB,M000534024714,,
882477,2,03/07/2001,MWBA,E021167971628,,
278501,2,20/01/2009,WROM,R014360234551,,
140302,1,16/03/2004,WIRI,Q043462748535,,
438335,1,07/07/2009,OOTH,S049196704737,,
122983,1,09/03/2006,AOTH,R029520689140,,
433741,2,05/09/2007,MWAS,R006732373718,,
109036,2,22/09/2004,OOTH,C023816763637,,
519059,1,14/08/2005,MOTH,L062252004368,,
524792,2,04/02/2002,WBRI,E021074591147,,
512334,2,09/08/2006,MWAS,I004115279608,,
625116,2,16/02/2008,MWAS,M043488667151,,
653400,1,03/06/2001,WIRT,U041817259633,,
576170,2,04/10/2007,WOTH,R037672110195,,
554262,1,20/09/2009,ABAN,I022265318790,,
42306,2,20/09/2002,REFU,Z048415637684,,
715090,2,16/04/2007,AIND,Y053926726728,,
127822,2,14/01/2007,WIRT,G082529607502,,
720102,1,07/09/2007,AIND,N089185129229,,
180755,1,19/11/2005,BCRB,X015184128838,,
675875,1,11/04/2005,WIRT,V045446009442,,
34572,2,17/09/2008,BCRB,B055762752526,,
616437,1,14/12/2004,APKN,G081565732555,,
580909,1,03/07/2005,MWAS,J037685050373,,
741598,2,15/09/2001,AIND,Q016150865898,,
986890,2,23/10/2003,MOTH,N012106758458,,
625004,1,15/03/2008,WROM,F011614995802,,
951716,1,01/02/2007,WOTH,H028653313898,,
601190,1,03/04/2007,APKN,Y054967331703,,
871541,2,22/08/2009,OOTH,B079212267334,,
261119,1,14/07/2007,BAFR,P072930722481,,
778189,2,04/09/2002,AOTH,R036876616149,,
948010,1,18/11/2006,WROM,Y089162837635,,
992331,2,05/01/2006,BAFR,Q000523888240,,
647811,1,24/05/2006,MOTH,Y003283235498,,
401650,2,15/10/2006,WBRI,M063490821928,,
109200,2,09/08/2008,ABAN,N053378718909,,
77296,1,30/06/2007,REFU,R059449166410,,
583209,1,02/07/2009,WROM,H031895823080,,
582902,1,13/02/2006,APKN,A010069569335,,
73142,1,14/04/2006,WROM,B090324946866,,
947752,2,15/02/2006,AIND,T003700624866,,
893776,1,03/11/2002,AOTH,E090439226140,,
978638,1,03/02/2005,WIRI,W042007626395,,
617686,2,28/11/2006,BOTH,W073455076868,,
19259,2,08/08/2007,WROM,K053655532422,,
110350,2,14/12/2003,AIND,M031904257479,,
326293,1,28/08/2009,AOTH,H050087712692,,
549023,2,05/07/2005,APKN,P019900227986,,
118889,2,16/06/2004,BAFR,H073378260636,,
783886,1,13/03/2007,WIRT,Q076702560466,,
831861,1,28/02/2007,WIRI,A042025448322,,
681893,2,14/10/2005,BOTH,B051123714342,,
306870,1,26/10/2003,REFU,O001367587323,,
729233,2,07/12/2007,OOTH,G004964948238,,
804955,1,09/05/2006,REFU,D007056841913,,
357220,1,30/07/2005,MWBA,X085070923823,,
840802,1,02/12/2005,AOTH,O047182337980,,
952289,1,15/02/2009,WBRI,A093384733452,,
530282,1,29/04/2007,WIRI,G024242807169,,
584671,2,06/08/2008,ABAN,Q072271036671,,
673935,2,11/11/2007,WBRI,L095168493623,,
684861,2,20/10/2008,BOTH,P071733871682,,
198564,1,24/10/2005,MWAS,P047275123481,,
69504,2,23/06/2008,OOTH,E075384745223,,
448742,2,23/06/2001,MWAS,A076697046522,,
374389,1,24/06/2003,ABAN,V042733144571,,
373218,2,06/08/2009,WIRT,H032761928047,,
289121,1,09/10/2006,AOTH,U090716398126,,
482840,2,14/01/2005,BOTH,A085653112086,,
48338,2,30/05/2001,MWBA,Y080945108691,,
850847,2,05/10/2003,APKN,K082991898219,,
787064,1,05/10/2001,MWBA,X054946569046,,
355602,1,13/02/2004,WBRI,G080686046097,,
311063,1,28/05/2009,WIRT,B007827604339,,
218168,2,11/07/2004,MWAS,M058030200934,,
711540,1,30/03/2004,BAFR,O017666959736,,
204118,2,21/10/2001,AOTH,Y032357673917,,
60288,2,29/07/2006,OOTH,Q082280579417,,
737726,2,17/05/2008,CHNE,L058670690614,,
648057,1,28/06/2009,CHNE,R040595683488,,
892330,2,21/08/2005,APKN,J034848297206,,
866837,1,27/09/2002,OOTH,K098828333896,,
659430,2,10/04/2003,AIND,Q064727194396,,
694922,1,19/07/2002,REFU,P094406480310,,
573864,1,20/02/2008,BAFR,Q058358984984,,
793347,1,17/10/2003,WOTH,G026331179666,,
553848,1,22/02/2008,NOBT,Q011320601641,,
255201,1,23/11/2007,WIRT,A001522546263,,
4015,1,06/12/2003,NOBT,H085907469081,,
951969,1,02/11/2006,AOTH,V025993264806,,
606708,2,18/09/2003,WOTH,I096058873391,,
928597,2,29/07/2007,MOTH,E056717634618,,
262711,2,14/09/2007,REFU,S081687881585,,
693410,2,24/12/2003,WIRI,R004144869739,,
266902,1,02/05/2004,WROM,N052049038197,,
429851,2,10/12/2009,WIRI,F056611049461,,
119095,1,05/12/2007,BAFR,T057528386915,,
