CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB
296227,2,23/06/2002,NOBT,R056024362409,,
640353,1,19/02/2004,REFU,Z053273524673,,
62551,2,18/03/2005,OOTH,R084010198416,,
185992,2,29/07/2009,BAFR,U054252063976,,
532130,1,24/07/2009,APKN,H071379593570,,
828936,2,27/09/2007,MOTH,D066329546107,,
521525,1,13/06/2002,REFU,N070571845496,,
225242,2,27/11/2005,AIND,E024501213825,,
158853,2,11/04/2008,WBRI,E043584864318,,
295982,1,21/02/2009,MWBC,T051788328004,,
397815,1,27/04/2000,MWAS,T065572515321,,
53693,1,28/12/2007,MWBA,E072016439902,,
168196,1,12/10/2009,APKN,L066695746570,,
637234,2,07/08/2006,APKN,G014513081279,,
406894,2,15/08/2002,ABAN,V019456276394,,
58470,2,28/05/2004,AIND,F008851001771,,
738595,1,20/07/2000,WOTH,X002342828700,,
319688,2,05/12/2004,WROM,D024316977511,,
96860,1,17/11/2007,WOTH,D071452210331,,
721638,2,03/07/2009,WIRT,G008792854228,,
525420,1,12/12/2009,WOTH,R041861435456,,
711196,2,17/07/2005,APKN,D043851960232,,
533550,2,13/04/2000,WBRI,A062730026530,,
370565,2,11/05/2009,CHNE,I047419005346,,
515339,1,10/11/2005,BCRB,S016112573169,,
733166,2,15/01/2005,NOBT,N091451139698,,
289653,1,29/12/2001,WIRT,A048478311268,,
944392,1,16/04/2005,AOTH,Y028052828138,,
457493,2,09/06/2007,WOTH,T049797830770,,
59536,1,05/01/2001,NOBT,R005482628546,,
447903,1,19/03/2007,MWAS,Q013754822945,,
230591,2,15/04/2009,MWBC,A067433156499,,
92629,1,31/07/2006,WROM,L042232277738,,
626490,2,03/10/2009,AIND,U076204007293,,
718139,1,25/12/2008,MOTH,Y045825008717,,
623826,1,30/12/2003,APKN,E050651948637,,
934454,1,07/06/2001,OOTH,V030401216782,,
955207,1,22/10/2008,OOTH,W018324324781,,
521749,1,17/11/2005,BAFR,Z078480542435,,
158809,2,19/09/2006,WROM,I080683999830,,
374015,1,26/11/2008,BOTH,R026374952883,,
344070,2,09/09/2007,WIRT,Z012405551068,,
207288,2,28/10/2007,BCRB,B068323705724,,
420870,2,13/09/2005,WIRI,S036567914789,,
115396,1,09/06/2001,AIND,M051241019272,,
748243,1,01/10/2007,AIND,W059468322032,,
686067,1,07/03/2007,OOTH,B011159170354,,
600195,1,09/04/2005,BCRB,U076996251385,,
227758,1,23/04/2003,MWBC,R052046819237,,
276736,1,27/03/2002,WROM,S087282221661,,
184159,1,19/09/2007,BOTH,D099660751122,,
355263,1,11/06/2004,BAFR,Z080204631746,,
545261,1,14/12/2006,WIRI,H042028194278,,
814528,1,17/07/2004,REFU,I011102004022,,
911317,2,13/04/2002,AIND,K027090584965,,
830787,1,17/11/2003,WBRI,B040909196751,,
243537,2,17/01/2006,OOTH,H085633752004,,
461710,2,31/12/2007,BOTH,P062214076854,,
439481,2,17/04/2007,WBRI,J016387031321,,
80405,1,06/11/2008,WIRT,X086610882498,,
