CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB
62551,2,18/03/2005,OOTH,R084010198416,,
185992,2,29/07/2009,BAFR,U054252063976,,
225242,2,27/11/2005,AIND,E024501213825,,
158853,2,11/04/2008,WBRI,E043584864318,,
53693,1,28/12/2007,MWBA,E072016439902,,
168196,1,12/10/2009,APKN,L066695746570,,
637234,2,07/08/2006,APKN,G014513081279,,
406894,2,15/08/2002,ABAN,V019456276394,,
721638,2,03/07/2009,WIRT,G008792854228,,
525420,1,12/12/2009,WOTH,R041861435456,,
711196,2,17/07/2005,APKN,D043851960232,,
457493,2,09/06/2007,WOTH,T049797830770,,
230591,2,15/04/2009,MWBC,A067433156499,,
718139,1,25/12/2008,MOTH,Y045825008717,,
955207,1,22/10/2008,OOTH,W018324324781,,
158809,2,19/09/2006,WROM,I080683999830,,
374015,1,26/11/2008,BOTH,R026374952883,,
420870,2,13/09/2005,WIRI,S036567914789,,
748243,1,01/10/2007,AIND,W059468322032,,
227758,1,23/04/2003,MWBC,R052046819237,,
184159,1,19/09/2007,BOTH,D099660751122,,
814528,1,17/07/2004,REFU,I011102004022,,
439481,2,17/04/2007,WBRI,J016387031321,,
725812,2,21/11/2006,WBRI,P002971600776,,
735996,1,05/10/2007,WROM,C009844470867,,
424048,2,28/04/2004,WIRI,K052262191905,,
502939,1,08/07/2005,AOTH,J006324372711,,
536074,2,05/11/2008,WIRI,O071080534225,,
731959,2,29/09/2007,WOTH,R061705640248,,
370716,1,21/07/2009,WOTH,S085294584266,,
279171,1,15/01/2008,MOTH,Y090960052228,,
99151,1,27/12/2005,REFU,V026071191052,,
87408,2,09/01/2005,MOTH,P019403841816,,
204727,1,17/03/2006,APKN,X017180369396,,
604939,2,25/01/2005,BCRB,J094995647415,,
96146,1,28/01/2009,REFU,M077031628515,,
442009,2,17/02/2004,NOBT,B000162331256,,
557029,2,04/01/2007,AIND,T099634773040,,
479556,1,15/04/2006,MWBA,A054171871308,,
506970,1,18/12/2009,BAFR,E076150921231,,
745426,2,03/10/2007,APKN,Q051556941170,,
462241,1,09/07/2003,NOBT,O059307399715,,
737153,1,31/05/2003,WOTH,S091529097102,,
464233,1,31/03/2005,WIRT,Z026566439651,,
994928,1,01/02/2005,WROM,G039321116055,,
842080,2,14/05/2007,WROM,E036647976521,,
386356,1,23/08/2008,BAFR,H047853649807,,
291083,2,10/08/2006,MWBA,M090388820257,,
673034,2,12/02/2008,MWAS,H057704240760,,
5955,1,19/08/2009,BAFR,J068827775173,,
99273,1,03/07/2005,REFU,Y085151664331,,
775675,2,02/04/2006,BOTH,J070382886759,,
610489,2,24/05/2006,APKN,T037978312243,,
719836,2,30/07/2005,BAFR,V088817270605,,
991189,1,20/05/2006,WBRI,S015033405894,,
472130,1,04/02/2004,MWBA,B023555825835,,
210846,2,09/11/2007,WOTH,A011305635661,,
187276,1,02/09/2006,AOTH,A030266826026,,
70974,2,22/12/2008,MOTH,W043187278370,,
489455,2,31/08/2008,OOTH,F011477533389,,
359195,2,09/02/2009,AIND,I038100633233,,
