CHILD,DOB,IN_TOUCH,ACTIV,ACCOM
62551,18/03/2005,DIED,P3,T2
814528,17/07/2004,NO,G5,U1
424048,28/04/2004,DIED,G5,Y1
87408,09/01/2005,REFU,G4,B1
604939,25/01/2005,DIED,G6,G2
737153,31/05/2003,NO,G4,E2
464233,31/03/2005,NREQ,F3,B2
994928,01/02/2005,YES,F1,H2
472130,04/02/2004,NO,F3,D1
893365,06/09/2003,DIED,P1,Y2
164592,03/10/2004,DIED,0,Z1
294875,01/03/2004,RHOM,G6,E2
216649,22/04/2004,YES,P3,01
140302,16/03/2004,NREQ,F2,Z2
109036,22/09/2004,REFU,F1,B2
986890,23/10/2003,NREQ,G5,Z2
978638,03/02/2005,DIED,F1,T1
306870,26/10/2003,REFU,F2,R2
482840,14/01/2005,REFU,P1,Z1
850847,05/10/2003,NREQ,F2,U2
355602,13/02/2004,YES,F2,C1
793347,17/10/2003,DIED,G6,H1
693410,24/12/2003,RHOM,F1,D1
266902,02/05/2004,RHOM,0,B2
836643,22/11/2004,NREQ,P2,C2
195764,21/02/2004,NO,F3,H2
21847,13/02/2004,NREQ,G4,R1
184308,01/06/2004,YES,F2,R1
453572,27/06/2004,REFU,0,K1
648222,16/04/2003,YES,0,K2
822438,26/02/2004,REFU,P2,C1
479546,20/06/2004,NO,P2,S1
853697,23/09/2004,RHOM,P3,G1
379507,12/08/2003,NO,G6,Z2
245022,30/05/2004,DIED,G5,Z1
954202,10/09/2004,REFU,P1,E2
297403,21/12/2004,NREQ,0,H2
247698,18/05/2004,NO,G5,W1
569582,31/03/2005,DIED,P2,G2
